Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
1419.92601,453.3866883243358,1424.9858780915217,1426.656786299999,1470.1593,1466.0367,1483.315
1449.7383,430.0299837043791,1455.0790813783399,1454.1923861999987,1484.3593,1477.3927,1494.6023
1459.59651,406.97114868623964,1464.9952317229945,1467.778176600001,1499.7001,1490.6438,1503.9817
1442.61705,384.20638445153986,1447.9051595277924,1432.543568999997,1514.399,1505.2319,1512.299
1473.03798,361.7319407115051,1478.4876647982633,1476.7897758000015,1519.824,1515.9803,1519.243
1481.85645,339.54411501445185,1487.3219915557197,1483.5799703999992,1525.8307,1525.9894,1525.8242
1515.48684,317.63925209080435,1520.8850486846295,1515.1050420000001,1532.406,1536.1321,1532.6604
1525.40292,296.0137432906699,1530.7426333610401,1527.1464794999995,1548.103,1549.8715,1540.2448
1553.20545,274.66402599898856,1558.2872994199333,1556.7912374999987,1570.2151,1566.0687,1548.9414
1567.29306,253.58658303055682,1572.191358757161,1563.8047448999985,1596.2625,1585.4985,1559.1409
1573.98999,232.77794205056233,1578.788525331958,1568.6980562999988,1621.9354,1606.5386,1570.6796
1575.732,212.2346750098381,1580.5032613934798,1568.6980562999988,1640.9056,1626.3293,1583.6978
1580.94219,191.95339757857775,1585.628612302714,1588.1602160999992,1649.9563,1642.2262,1597.8284
1601.78571,171.9307685861868,1606.0836083590266,1600.9841694000008,1649.9135,1653.3655,1612.5774
1616.67594,152.16348947203056,1620.6478423700223,1612.5280644000004,1650.5125,1662.6256,1627.5197
1671.0478200000002,132.64830374282437,1673.4789055373822,1668.8383541999972,1655.6282,1671.87,1641.9584
1689.03636,113.38199643550789,1690.8328046526917,1684.6366412999994,1679.3291,1687.9404,1656.0692
1710.8277900000005,94.3613935874223,1711.768571008403,1707.5355047999992,1714.8226,1710.0568,1670.4302
1745.6380800000002,75.58336171372613,1745.0055382571672,1747.310512200001,1753.6459,1736.0199,1685.3918
1780.56015,57.04480729119038,1778.0769637115986,1780.3167501,1792.5309,1765.4362,1701.4268
1799.96115,38.74267624844357,1796.3232704101824,1795.8542721000028,1828.9546,1798.2137,1718.6589
1811.82402,20.673953462861103,1807.432899083348,1795.8542721000028,1860.8472,1831.503,1737.5228
1863.093,2.835662263893937,1855.0008165110048,1861.6409337000016,1882.9185,1861.493,1758.065
1872.23988,-14.775136057331348,1863.4056625697558,1865.7634664999998,1905.1614,1892.0806,1780.5597
1882.24047,-32.16134273215434,1872.5645667824026,1879.538440800001,1925.1431,1920.7711,1804.4323
1917.90279,-49.32582199232388,1904.9517177229566,1921.7097455999997,1940.1266,1944.845,1828.9875
1969.57794,-66.27140154185277,1951.0406486339994,1959.7538060999993,1956.005,1967.0441,1853.885
2027.12805,-83.0008730228632,2001.0089172487415,2032.2207282000018,1981.8473,1992.7687,1879.2405
2084.36283,-99.51699247548679,2049.0249124935126,2087.5711676999977,2026.7034,2026.4225,1905.3772
2151.0740100000003,-115.82248079189694,2102.4891499231258,2150.1581492999985,2089.8503,2069.6177,1933.2207
2188.15332,-131.92002416455335,2130.8696622468865,2189.708664300004,2166.3765,2123.035,1963.438
2197.82715,-147.81227452873048,2138.102344432335,2193.363321000003,2240.578,2181.0127,1997.0176
2237.16525,-163.50184999940132,2166.7336570861544,2240.9019629999993,2292.2551,2234.28,2033.3591
2349.54954,-178.99133530254963,2240.835235256452,2345.4534674999973,2319.9883,2280.7717,2072.1716
2409.98358,-194.28328220098211,2275.346321841499,2407.6638687000036,2356.1545,2332.7332,2114.3645
2456.99595,-209.38020991470992,2299.319119095516,2470.6264014000017,2411.8025,2391.899,2159.7173
2520.1136100000003,-224.28460553596895,2327.272479640479,2520.595893900002,2479.719,2454.48,2207.888
2569.48689,-238.99892443894748,2345.5772954531494,2570.760680699999,2549.7522,2518.642,2258.3728
2612.22279,-253.52559068428843,2358.7929660168043,2604.5089628999967,2610.893,2581.4153,2311.053
2695.16802,-267.8669974184331,2377.2503091082162,2697.8216927999974,2658.1658,2639.8528,2365.0828
2774.35245,-282.02550726787183,2385.81220906017,2772.4807857000005,2702.5312,2698.4097,2420.8447
2831.92983,-296.00345272836717,2386.445579400732,2827.2341004000023,2754.222,2761.076,2478.7944
2878.0482300000003,-309.8031365492127,2383.5887938777355,2885.8042779000007,2812.852,2825.8157,2538.0312
2951.13528,-323.42683211259185,2373.074875587435,2965.904585099998,2870.3784,2888.7139,2597.632
3023.72601,-336.8767838080985,2355.659573150733,3019.2273092999985,2924.0867,2950.694,2656.3079
3047.73192,-350.1552074024812,2348.445257481014,3059.0860689000033,2979.1252,3013.3557,2713.7288
3110.8950000000004,-363.2642904046726,2326.212150150194,3090.184565700001,3023.6465,3070.7178,2768.5945
3161.66538,-376.20619242616254,2305.138570099212,3160.1246669999987,3063.2397,3123.636,2819.586
3186.6192,-388.98304553677656,2293.8111734887207,3188.8345767000037,3101.9675,3172.7856,2869.517
3205.95384,-401.59695461591616,2284.6206074495326,3211.237076700004,3134.9092,3215.5413,2920.155
3260.03694,-414.04999769932016,2257.1226310916313,3264.332299200001,3160.1792,3249.3435,2968.714
3285.32034,-426.34422632140354,2243.4309913974243,3280.2729921000046,3184.8164,3278.884,3012.1418
3331.3587,-438.4816658532307,2217.2776893185533,3327.1991168999994,3211.5564,3304.6553,3050.9417
3386.77698,-450.46431583617823,2183.9650560676687,3391.656375900003,3243.3162,3329.9023,3085.112
3432.21495,-462.29415031134266,2155.4121121915737,3427.0561776000045,3285.205,3358.1934,3116.847
3461.19891,-473.97311814474716,2136.721489319989,3456.283422299997,3332.9358,3390.1594,3145.3367
3469.10754,-485.50314334840084,2131.5660834469572,3456.283422299997,3379.459,3423.168,3169.8564
3514.14522,-496.8861253972636,2101.8280226084034,3456.283422299997,3409.6863,3451.8196,3190.7773
3559.5749100000003,-508.12393954216867,2071.328423870724,3456.283422299997,3432.502,3478.2166,3208.1963
3570.5886600000003,-519.2184371187545,2063.881471037835,3456.283422299997,3456.7808,3505.7117,3223.721
