Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
8272.57872,2379.8435457594774,7326.940507147072,8228.70793140001,8343.39,8458.133,8721.975
8349.50592,2198.7529855765965,7354.096393663932,8395.366797600016,8388.659,8499.564,8827.949
8489.23077,2019.5563909098869,7402.865658395264,8458.312029600012,8463.741,8549.536,8903.371
8579.111939999999,1842.2339516127554,7433.832848224545,8577.554183100008,8566.68,8619.162,8960.023
8540.30436,1666.7660712368602,7420.50270893405,8577.554183100008,8689.325,8707.708,9002.209
8718.88263,1493.1333531038592,7481.31147203092,8718.59379179999,8798.402,8789.847,9011.878
8774.75505,1321.3166019676544,7500.04810259689,8783.988453599995,8910.094,8877.415,9010.694
8667.40881,1151.2968258952942,7463.925406005319,8634.438950400005,8975.627,8967.705,9018.53
8823.90243,983.0552315351513,7516.410263080097,8817.293311500014,9003.711,9029.468,9031.193
8883.51468,816.5732210227527,7536.10278521408,8849.410843500009,9039.916,9079.751,9057.319
9070.75257,651.8323912950806,7596.81381586792,9075.01872060001,9028.165,9128.006,9092.773
9110.13969,488.8145321366561,7609.356052480574,9098.05032720001,9079.762,9197.498,9145.848
9254.10882,327.5016235671542,7654.493978381474,9269.291352300013,9171.9795,9280.77,9208.387
9338.68251,167.87583396865918,7680.477515779818,9303.2107626,9302.565,9381.142,9277.788
9388.12176,9.919518337204892,7695.479196907087,9407.599261199995,9449.01,9492.234,9355.105
9397.78194,-146.38478377479873,7698.394079224983,9438.103906199998,9578.353,9599.705,9441.887
9449.19324,-301.0543502553687,7713.816131792624,9462.594877799998,9672.261,9688.185,9531.499
9568.463640000002,-454.1062782805776,7748.996015084033,9576.551541600003,9717.599,9754.508,9627.036
9636.28101,-605.5574861921912,7768.619678310795,9641.642772000014,9740.206,9814.534,9726.32
9961.55097,-755.4247153972481,7858.781486059403,9978.458328000004,9760.63,9873.545,9819.929
10059.07857,-903.724532216335,7884.503428326141,10057.677915600018,9862.43,9974.012,9911.358
10209.05565,-1050.47332970299,7922.8466157215735,10235.937204000022,10004.304,10110.258,10009.315
10411.68645,-1195.6873294597901,7972.283063864566,10415.895989999995,10215.323,10271.706,10114.911
10630.85679,-1339.3825834354645,8022.64685264794,10637.9101938,10459.124,10455.652,10237.457
10743.96915,-1481.5749756965713,8047.364760210538,10744.713911699993,10685.785,10659.562,10383.4
10806.12048,-1622.280224182332,8060.575690109025,10765.237189800007,10903.949,10865.5,10548.943
11077.14819,-1761.5138824434862,8115.109999419636,11112.836319600008,11070.08,11049.909,10730.358
11117.38587,-1899.2913413616425,8122.780305398326,11112.836319600008,11213.97,11229.115,10934.21
