Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
4446.99165,88.06764178404565,4131.9830000366555,4430.1003564000075,4553.701,4458.8257,4693.3047
4470.53415,13.118900057141488,4146.984681289803,4479.809155500002,4629.8955,4511.9995,4727.239
4475.13426,-61.04077882586249,4149.899579007147,4494.3351792,4692.08,4560.21,4763.253
4499.61582,-134.41970215345793,4165.321624392176,4505.9975469,4717.1787,4596.0435,4800.424
4556.41125,-207.02608975082973,4200.501508682708,4560.262637999999,4703.3975,4621.805,4837.537
4588.70523,-278.868074894795,4220.125168522352,4591.2584787000005,4684.9136,4648.2217,4873.8184
4743.59571,-349.95370523890347,4310.2869896310785,4751.646826500006,4683.521,4677.152,4909.413
4790.03745,-420.2909437138145,4336.008945836686,4789.370441699994,4721.8853,4732.7935,4945.655
4861.45509,-489.8876694136569,4374.352123468796,4874.255802299998,4814.7266,4805.058,4983.295
4957.94592,-558.7516784805446,4423.78855756844,4959.950464200007,4929.2544,4884.9634,5023.595
5062.312739999999,-626.8906849797847,4474.152342622819,5065.671524099995,5057.5815,4972.335,5068.633
5116.175789999999,-694.3123217627093,4498.870260127359,5116.530441300009,5186.2285,5068.1885,5119.4824
5145.77166,-761.0241413212273,4512.081189359178,5126.303416800002,5284.4976,5161.1904,5177.3345
5274.8325,-827.03361663451,4566.6155089408985,5291.826814500011,5334.366,5238.891,5240.317
5293.99329,-892.3481420061355,4574.28581078366,5291.826814500011,5354.361,5317.5615,5308.112
5328.58236,-956.9750338921006,4587.854187597122,5317.2070812000065,5391.945,5386.8467,5380.71
5429.50056,-1020.9215317204636,4625.405460356954,5431.6117352999945,5422.585,5442.198,5454.953
5579.701590000001,-1084.1947987024023,4675.743141609379,5588.604186900001,5464.6724,5498.8047,5530.3184
5733.378989999999,-1146.8019226345752,4720.529417788439,5767.187337899999,5557.282,5576.7554,5607.031
5879.34525,-1208.7499166930575,4756.989452751658,5872.141173599999,5709.5747,5684.9233,5686.8247
6061.16325,-1270.0457202189784,4794.493483378278,6062.658921600003,5900.9824,5818.4507,5770.6514
6164.459940000001,-1330.696199495864,4812.074859937076,6173.675324100002,6116.382,5976.148,5861.503
6196.97628,-1390.7081485187757,4817.072010662344,6207.9627822,6313.5557,6136.6113,5960.107
6302.39733,-1450.0882897553668,4831.559673719537,6264.729316199998,6449.2725,6269.787,6065.3633
6613.254330000001,-1508.8432748989312,4859.960075514957,6611.8714415999975,6517.346,6379.218,6174.2285
6771.9666,-1566.9796856135163,4866.892181621186,6763.1691267,6607.8794,6520.299,6291.176
6889.74258,-1624.5040342711911,4869.021837860316,6894.230373000008,6787.1177,6688.1167,6415.018
7061.71914,-1681.4227646815561,4867.837960120393,7063.3668663,6982.8447,6858.722,6547.1353
7203.34734,-1737.7422528135712,4863.290884423236,7218.6733329000035,7164.8516,7027.852,6686.1846
7338.5211,-1793.468807509784,4856.147924387548,7300.26188999999,7350.2344,7189.452,6834.5034
7578.13911,-1848.6086711930386,4837.268338166418,7573.641252000004,7520.873,7340.4155,6989.036
7806.76215,-1903.1680205657449,4812.471748224639,7785.949777800007,7688.61,7502.785,7150.6304
7966.41948,-1957.1529673017853,4791.561226130986,7974.565026599989,7876.6055,7686.691,7319.0215
8082.51189,-2010.5695587311372,4774.624947202069,8065.383289499989,8085.0654,7876.6987,7497.3325
8284.37415,-2063.4237785172877,4741.923663393505,8282.448552000005,8272.147,8050.9688,7680.097
8514.799920000001,-2115.721547327517,4699.923776410554,8498.497587599983,8429.281,8219.577,7866.5854
8606.150669999999,-2167.4687234961234,4682.000426826117,8619.41160630001,8601.318,8397.963,8055.112
8791.81035,-2218.6711036806682,4643.531076873498,8793.956014799995,8784.382,8562.235,8245.246
8947.77489,-2269.33442351131,4609.270893359131,8933.5486056,8929.58,8719.611,8433.818
9028.66077,-2319.464358233303,4590.867578239719,9042.882928500008,9073.941,8871.75,8619.688
9085.54356,-2369.066523342731,4577.684588583486,9100.039284900007,9210.769,9002.509,8801.573
9250.83138,-2418.1464752155507,4538.345742006778,9224.012904299989,9308.58,9102.098,8976.322
9342.83331,-2466.7097117300073,4515.8510729411455,9356.937798600004,9383.905,9195.543,9140.317
9482.77122,-2514.761672882502,4480.938158693973,9497.971544399992,9478.107,9285.011,9292.546
9648.21135,-2562.3077413969736,4438.7765633042645,9671.543476199999,9588.073,9380.209,9431.902
9793.81605,-2609.353243327866,4401.087225126134,9811.286636099981,9715.929,9490.906,9557.834
9880.30518,-2655.903448656745,4378.526764340517,9878.308508099988,9865.924,9615.633,9669.364
9895.7271,-2701.9635718826353,4374.494678986577,9889.296869999984,10014.161,9734.63,9773.776
10029.33438,-2747.5387726061444,4339.496238124624,9889.296869999984,10120.366,9821.667,9864.769
10155.80448,-2792.6341561074332,4306.357085538044,9889.296869999984,10177.088,9899.164,9944.484
10187.16777,-2837.254773918104,4298.153223268899,9889.296869999984,10250.77,9981.266,10015.651
