Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
521.86905,325.5734088347481,523.7713109086194,523.7420439000005,516.1716,527.03784,498.10654
530.17809,314.39238826387924,531.9769492998598,528.1374612000006,523.4584,534.60583,503.56375
530.20803,303.3539872591501,532.0064962234761,528.1374612000006,532.1225,543.4074,510.1338
527.57736,292.45637745630194,529.4098206827497,527.9090940000007,538.6089,551.9799,517.6335
537.40413,281.69777214643,539.1042308975042,540.769002299999,541.0944,558.82446,525.8716
543.60213,271.07640007575134,545.2118150197512,543.0702158999992,544.0358,564.79877,534.8183
540.4175700000001,260.5905066868935,542.0743243259319,540.769002299999,549.20264,570.60236,544.00275
537.69435,250.23836405588114,539.3903288864724,540.769002299999,551.655,575.23724,553.3638
544.08813,240.0182677471421,545.6905231288722,543.0702158999992,550.052,577.9667,562.69037
551.04441,229.92853305377503,552.5395273331892,553.1661953999991,549.974,579.7617,571.705
551.25294,219.96749659786516,552.744762746865,553.1661953999991,554.09155,581.9465,580.1535
555.25656,210.13351706673427,556.6843226947265,553.8843854999991,557.5846,584.2656,588.26544
563.83404,200.4249739651586,565.1199880549829,560.769138299999,559.70856,586.7899,595.6987
570.0351900000001,190.84026715223968,571.215448841644,570.6627186000005,565.0151,590.31366,602.27386
567.97041,181.3778170120181,569.1861104409559,570.6627186000005,573.17346,594.90027,608.0347
579.8952899999999,172.0360641802216,580.9035940668374,581.6769437999997,577.4447,599.3226,613.2433
583.83858,162.81346911461006,584.7771901108636,587.1112572000001,582.4024,604.3211,618.07263
577.04682,153.70851188351932,578.1051900920995,573.0174176999996,589.53107,609.76764,622.4443
589.2152100000001,144.71969197583053,590.0582940692918,590.7158952000005,590.9774,613.8224,626.34283
592.74258,135.84552802380816,593.5228230002785,593.4319872000003,592.66705,617.69073,630.0481
606.1947600000001,127.08455754094553,606.7358235114605,606.0420116999998,597.73566,621.6177,633.5775
610.1611800000001,118.43533669684597,610.6323273226692,610.8586002000005,605.2578,626.8341,637.12427
621.2821799999999,109.89644008313701,621.560213790452,622.716502500001,613.77167,632.99066,640.823
626.91723,101.46646047133216,627.0996073477897,625.5219081000008,622.63153,640.25946,644.8919
629.59602,93.14400858090035,629.7335593127311,627.4792314000008,632.30664,648.1489,649.44147
630.2927999999999,84.92771285322712,630.4187491188627,627.4792314000008,638.9703,655.6051,654.4595
632.3768699999999,76.81621922496188,632.4683399219196,635.2640898000004,641.8737,661.6162,659.8493
640.71426,68.80819090382141,640.6708426922487,640.3936638000007,643.00165,666.07947,665.44135
646.67037,60.90230814875462,646.5339194263764,645.0112320000004,645.0199,669.982,671.1855
668.41911,53.09726805276657,667.971566659069,667.5353400000006,649.54626,673.8997,676.88947
675.61455,45.391784327938254,675.0755911814426,673.8546572999995,660.03253,680.2482,682.81256
684.3311100000001,37.78458709336951,683.6901946923153,683.0142135000004,674.76154,688.77026,689.01636
698.25522,30.27442266601971,697.473364749124,698.924199600001,686.6334,698.579,695.56305
712.22406,22.860053354102217,711.330851240855,712.12671,699.2626,709.6311,702.5371
719.98446,15.540257253060814,719.0436144162178,718.3417142999995,713.63385,721.88904,709.9249
724.72962,8.313828044205927,723.7649693560127,718.3417142999995,725.5349,734.2711,718.0423
745.2372,1.1795747959285645,744.2194922292588,744.6563817000015,733.2786,745.5571,726.7581
748.8959400000001,-5.863678232575237,747.8777616842106,746.3054010000011,742.7937,757.2054,736.1239
752.89617,-12.81709178507477,751.8807525212684,751.8153768000016,753.9219,768.2193,745.9988
767.16111,-19.681811799593632,766.184356336691,768.6838998000002,759.5577,777.6845,756.28265
787.8311699999999,-26.45896959726148,786.9944169737139,783.9015300000015,766.61865,786.58014,766.88226
810.85122,-33.149682068760235,810.2930292669956,812.8882926000007,779.5612,796.9291,777.7736
833.7451199999999,-39.7550518583903,833.5923587468106,835.0284500999994,798.1752,810.25037,789.2097
860.4296099999999,-46.27616754578798,860.8957413366347,860.0632533,821.18634,827.0932,801.3993
875.2613100000001,-52.71410382532589,876.1250375669476,875.8834842000011,847.2364,847.5498,814.7091
879.13086,-59.06992168322538,880.1027643367829,877.3453446000012,872.1427,869.6181,829.3365
894.8661,-65.34466857240923,896.2886328353094,896.3607761999988,888.6325,889.7316,845.08844
939.81981,-71.53937858512415,942.433103493056,938.181379200001,899.8307,907.4988,861.7553
963.99345,-77.65507262336156,966.9784897910743,963.0655640999995,920.02386,927.6846,879.56616
982.79838,-83.69275856710452,985.8034642359637,988.2505589999994,947.94257,950.7712,898.6851
1008.04545,-89.65343144042856,1010.5177936895052,1008.2383503,971.70264,975.18884,919.1036
1027.79475,-95.53807357548389,1029.2394655454145,1028.3042756999998,996.801,1000.19055,940.8364
1044.88911,-101.34765477438589,1044.8858491979702,1041.8035847999995,1021.4025,1024.7734,963.7694
1078.06722,-107.08313246904068,1073.3643192219056,1079.1286710000015,1041.2236,1047.7738,987.77954
1109.74098,-112.74545187893203,1097.599578476291,1108.9923182999987,1061.7898,1071.0405,1012.90015
1132.77192,-118.33554616689563,1112.9931035006182,1130.8936515000016,1087.7859,1096.0289,1039.2435
1151.21928,-123.85433659290636,1123.7639027128341,1154.3217045000001,1113.618,1121.7822,1066.6166
1180.4541,-129.30273266590407,1137.6581887395078,1186.3618299000027,1136.388,1146.7809,1094.494
1209.49041,-134.6816322936826,1147.2210916995462,1207.6909262999984,1159.1426,1171.4854,1123.0414
1219.09275,-139.99192193086705,1149.3924754646055,1223.6344131000012,1185.3086,1196.522,1151.8595
1244.35797,-145.23447672500336,1152.6499178670902,1236.0738227999996,1206.3115,1219.4623,1180.5334
1264.66614,-150.4101606607847,1152.6285554259184,1264.0498676999985,1225.6256,1240.9185,1208.5526
1274.64768,-155.519826702438,1151.7452669349323,1275.5338301999986,1245.4811,1261.1084,1235.7852
1282.38153,-160.56431693429437,1150.6649647799416,1284.4948322999992,1261.0001,1278.8489,1261.363
1304.0148,-165.54446269956648,1145.8184683351865,1305.7329206999984,1272.7666,1293.2697,1285.0413
1314.12813,-170.46108473735572,1142.6418672821405,1312.1091992999998,1285.0217,1306.3435,1306.7347
1332.5434799999998,-175.31499331791193,1135.4035999606708,1330.8796470000023,1296.5112,1317.998,1325.956
1354.71078,-180.10698837616764,1124.291804787455,1356.6625638000014,1307.896,1329.5206,1342.7981
1372.88595,-184.83785964356917,1113.335318590062,1370.8224716999982,1323.5405,1341.9171,1357.1967
1384.47957,-189.50838677822614,1105.5322477174868,1382.5133655000004,1340.933,1355.444,1368.8596
1387.64304,-194.11933949340084,1103.2982129366478,1382.5133655000004,1357.5336,1369.1144,1377.7634
1405.6581,-198.67147768435868,1089.765525340421,1382.5133655000004,1371.401,1380.9838,1384.9631
1423.82997,-203.16555155360064,1074.8212917963665,1382.5133655000004,1383.6442,1392.0693,1390.7537
1428.23547,-207.60230173449833,1071.0194969913055,1382.5133655000004,1396.7368,1403.5365,1395.1754
