Date,Total Cases,Severe,Critical Cases,Total Deaths
4/15/2020,146.0496,69.54744,25.062150000000003,10.02504
4/16/2020,150.24393,71.54472,25.750799999999998,10.30122
4/17/2020,155.92662,74.25077999999999,26.686169999999997,10.674479999999999
4/18/2020,161.1549,76.74042,27.486,10.994399999999999
4/19/2020,166.20804,79.14669,28.35051,11.340179999999998
4/20/2020,172.74963,82.26174,29.461709999999997,11.784690000000001
4/21/2020,180.46278,85.93467,30.74712,12.298860000000001
4/22/2020,189.89784000000003,90.42756,32.4585,12.9834
4/23/2020,197.83614,94.20768,33.77451,13.509810000000002
4/24/2020,212.82051,101.34312,36.43266,14.573040000000002
4/25/2020,225.87033000000002,107.55729000000001,38.85705,15.54282
4/26/2020,235.34709000000004,112.07004,40.515119999999996,16.20603
4/27/2020,239.04525,113.83104,41.12151,16.44861
4/28/2020,248.02584,118.10757000000001,42.69732,17.07891
4/29/2020,253.44174,120.68655000000001,43.6554,17.46216
4/30/2020,261.2925,124.42499999999998,45.00375,18.0015
5/1/2020,262.77258,125.12979,45.101879999999994,18.04074
5/2/2020,264.47781,125.9418,45.23064,18.092280000000002
5/3/2020,273.44588999999996,130.21233,46.58355,18.63342
5/4/2020,282.19722,134.37963,48.05442000000001,19.221780000000003
5/5/2020,300.59619,143.14107,51.04437,20.41773
5/6/2020,321.6135,153.14931,54.508559999999996,21.80343
5/7/2020,330.22308,157.24905,55.84218,22.33686
5/8/2020,343.72317,163.67769,58.32783,23.33115
5/9/2020,365.6577,174.12273,62.211780000000005,24.884700000000002
5/10/2020,389.36001,185.40954,66.54273,26.61708
5/11/2020,407.18783999999994,193.89893999999998,69.70572,27.88227
5/12/2020,412.38692999999995,196.37472000000002,70.78175999999999,28.312710000000003
5/13/2020,413.79195000000004,197.04378000000003,71.13516,28.45404
5/14/2020,433.16238,206.26779,74.71449,29.88579
5/15/2020,451.80321000000004,215.14439999999996,78.03231,31.21293
5/16/2020,490.12716,233.39391,84.92781,33.97113
5/17/2020,535.94328,255.21111000000002,93.15234000000001,37.26093
5/18/2020,568.5011400000001,270.71484,99.21903,39.68763
5/19/2020,614.9926800000001,292.85366999999997,107.53545,43.01418
5/20/2020,645.79944,307.52355,112.656,45.0624
5/21/2020,674.60913,321.24243,117.22464,46.889849999999996
5/22/2020,703.48134,334.9911,122.11146,48.84459
5/23/2020,737.8361399999999,351.35055,128.34891000000002,51.33957
5/24/2020,769.581,366.46713,134.2608,53.704319999999996
5/25/2020,818.40735,389.71776,142.7769,57.11076
5/26/2020,861.23409,410.11148999999995,150.28497,60.114
5/27/2020,929.98956,442.85217,161.98446,64.79379
5/28/2020,985.85781,469.45611,170.97195,68.38878
5/29/2020,1039.84575,495.16464,179.89533,71.95814999999999
5/30/2020,1095.44298,521.63952,188.83115999999998,75.53247
5/31/2020,1138.35315,542.0729100000001,196.23264,78.49305
6/1/2020,1166.14551,555.30738,200.98730999999998,80.39493
6/2/2020,1213.842,578.01999,209.27591999999999,83.71035
6/3/2020,1268.0592,603.83772,218.30424,87.32172
6/4/2020,1316.22264,626.77269,226.15497,90.46199999999999
6/5/2020,1368.12174,651.48654,234.48444,93.79377000000001
6/6/2020,1436.87721,684.22722,246.1839,98.47359
6/7/2020,1526.60412,726.95436,261.32658,104.53062000000001
6/8/2020,1571.8865999999998,748.51743,268.80009,107.52003
6/9/2020,1617.92787,770.4418499999999,276.25884,110.50353000000001
6/10/2020,1701.7386000000001,810.35169,291.08328,116.4333
6/11/2020,1737.5276099999996,827.3941199999999,296.60148000000004,118.64061000000001
6/12/2020,1788.4302899999998,851.63346,305.48856,122.19539999999999
6/13/2020,1879.04106,894.7814700000001,321.25296000000003,128.50116
6/14/2020,1946.26224,926.79153,332.6847,133.07388
6/15/2020,1993.17492,949.1308799999999,340.54221,136.21689
6/16/2020,2072.42859,986.87076,354.58443,141.83376
6/17/2020,2171.6405999999997,1034.11458,371.5338,148.61349
6/18/2020,2235.1428,1064.3537099999999,381.19119,152.47647
6/19/2020,2284.99062,1088.09076,389.59553999999997,155.83821
6/20/2020,2364.74463,1126.06887,403.7943,161.51772
6/21/2020,2475.51387,1178.81613,422.05062000000004,168.82026
6/22/2020,2543.95662,1211.40792,434.54823,173.81928
6/23/2020,2673.35835,1273.0278,457.56656999999996,183.02664
6/24/2020,2790.0437699999998,1328.59227,476.93754,190.77504000000002
6/25/2020,2857.18992,1360.5666299999998,487.82814,195.13124999999997
6/26/2020,2895.96414,1379.03055,493.98846000000003,197.59536
6/27/2020,2981.22162,1419.62931,507.52013999999997,203.00805000000003
6/28/2020,3120.62538,1486.01208,531.20616,212.48247
6/29/2020,3225.5910000000003,1535.9957100000001,550.3541700000001,220.14168
6/30/2020,3305.64102,1574.11479,564.25401,225.70161
7/1/2020,3443.46885,1639.74705,587.7256199999999,235.09026
7/2/2020,3523.8065399999996,1678.0031099999999,600.38148,240.15258
7/3/2020,3673.7919600000005,1749.42474,626.30358,250.52142
7/4/2020,3847.74651,1832.2602299999999,654.9411,261.97644
7/5/2020,3978.88263,1894.70601,677.0155500000001,270.80622000000005
7/6/2020,4076.9480999999996,1941.40386,694.2366,277.69464
7/7/2020,4231.64892,2015.0709,722.96829,289.18731
7/8/2020,4396.101720000001,2093.38176,752.6875499999999,301.07502
7/9/2020,4549.71858,2166.53265,778.0270800000001,311.21082
7/10/2020,4703.14782,2239.5942,803.2083600000001,321.28335000000004
7/11/2020,4888.91391,2328.05424,836.0928600000001,334.43712
7/12/2020,5152.28682,2453.4699,882.33831,352.9353
7/13/2020,5318.19471,2532.4736700000003,912.50625,365.0025
7/14/2020,5466.89595,2603.28381,936.24786,374.49915000000004
7/15/2020,5766.88764,2746.13697,989.2600200000002,395.70402
7/16/2020,5896.27266,2807.7489,1010.3883,404.15531999999996
7/17/2020,6069.847830000001,2890.40373,1040.2278000000001,416.09112
7/18/2020,6276.848039999999,2988.97527,1073.2728299999999,429.30912
7/19/2020,6570.8109,3128.95761,1123.16397,449.26559999999995
7/20/2020,6806.328960000001,3241.1090400000003,1164.33654,465.73464
7/21/2020,6998.6283,3332.6801399999995,1197.38727,478.95492
7/22/2020,7285.80363,3469.4303099999997,1245.7649999999999,498.3059999999999
7/23/2020,7550.173049999999,3595.3204800000003,1287.47079,514.98831
7/24/2020,7761.24243,3695.8297200000006,1321.3644,528.54576
7/25/2020,7948.430249999999,3784.9668,1354.1030999999998,541.64124
7/26/2020,8240.04168,3923.82936,1399.5153,559.80609
7/27/2020,8415.53052,4007.3955,1430.0133899999998,572.0053499999999
7/28/2020,8629.78113,4109.41956,1465.65243,586.2609600000001
7/29/2020,8834.11299,4206.720450000001,1500.5172,600.20688
7/30/2020,9070.81926,4319.4377700000005,1537.3826399999998,614.95305
7/31/2020,9261.67188,4410.31992,1566.15117,626.46048
8/1/2020,9478.19469,4513.42605,1601.67168,640.66866
8/2/2020,9729.472590000001,4633.08216,1641.8027699999998,656.7211199999999
8/3/2020,9868.81386,4699.43517,1663.5777000000003,665.4310800000001
8/4/2020,10003.664789999999,4763.649899999999,1684.96299,673.98519
8/5/2020,10139.04939,4828.11876,1704.70998,681.88401
8/6/2020,10243.4313,4877.82441,1719.82602,687.93042
8/7/2020,10342.62246,4925.05833,1733.21817,693.28728
8/8/2020,10423.25622,4963.45533,1743.18588,697.27434
8/9/2020,10518.36147,5008.743570000001,1755.4321800000002,702.17286
8/10/2020,10601.43006,5048.30001,1767.3829500000002,706.95318
8/11/2020,10637.702729999999,5065.57272,1771.9640399999998,708.78561
8/12/2020,10745.68272,5116.99176,1787.4958500000002,714.9983400000001
8/13/2020,10754.029620000001,5120.966460000001,1784.14797,713.6591999999999
8/14/2020,10738.765889999999,5113.69806,1778.9003699999998,711.56016
8/15/2020,10728.776310000001,5108.94111,1774.47354,709.7894100000001
8/16/2020,10744.702949999999,5116.52523,1776.40446,710.56179
8/17/2020,10637.52345,5065.48737,1755.22965,702.09189
8/18/2020,10516.97727,5008.0844099999995,1732.3542599999998,692.9417100000001
8/19/2020,10459.6623,4980.79158,1722.2703000000001,688.90812
8/20/2020,10380.51699,4943.10333,1707.77088,683.10837
8/21/2020,10248.688769999999,4880.3279999999995,1682.12163,672.8486399999999
8/22/2020,10075.8057,4798.00272,1649.48559,659.79423
8/23/2020,9965.3325,4745.396430000001,1627.74465,651.0978600000001
8/24/2020,9843.77319,4687.511039999999,1608.31527,643.32612
8/25/2020,9572.06169,4558.124610000001,1559.19501,623.67801
8/26/2020,9446.91267,4498.52982,1537.90566,615.16227
8/27/2020,9306.725040000001,4431.77382,1511.39928,604.5597
8/28/2020,9099.58308,4333.13481,1477.42056,590.96823
8/29/2020,8815.38045,4197.80022,1428.66561,571.46622
8/30/2020,8623.30206,4106.33433,1393.97838,557.5913400000001
8/31/2020,8420.813010000002,4009.9109399999998,1358.50893,543.40356
9/1/2020,8163.76902,3887.50908,1315.9562700000001,526.3824900000001
9/2/2020,7928.15511,3775.31196,1278.6495,511.4598
9/3/2020,7674.7675500000005,3654.65121,1235.96013,494.38404
9/4/2020,7474.813410000001,3559.43499,1200.27513,480.11004
9/5/2020,7143.498,3401.66571,1147.26354,458.90540999999996
9/6/2020,6955.93914,3312.35199,1115.0790000000002,446.03162999999995
9/7/2020,6693.14571,3187.21224,1071.1984200000002,428.47938
9/8/2020,6470.790059999999,3081.3286200000002,1033.66023,413.46407999999997
9/9/2020,6224.6529,2964.12045,995.1576900000001,398.06307
9/10/2020,5985.94122,2850.4482,956.79528,382.7181
9/11/2020,5718.69918,2723.19009,912.47163,364.98864000000003
9/12/2020,5462.05545,2600.97879,869.88495,347.95398
9/13/2020,5262.93516,2506.15959,836.3191800000001,334.52766
9/14/2020,5057.04399,2408.1161700000002,803.9264700000001,321.5706
9/15/2020,4898.5908,2332.6623,780.79017,312.31605
9/16/2020,4777.19406,2274.8543099999997,764.2588499999999,305.70354
9/17/2020,4616.35188,2198.26281,739.1604,295.66416
9/18/2020,4446.499890000001,2117.38089,713.55879,285.42354
9/19/2020,4260.75465,2028.93078,684.2314799999999,273.69261
9/20/2020,4146.80841,1974.67068,666.69333,266.67732
9/21/2020,4017.6818700000003,1913.1818400000002,646.98657,258.79461000000003
9/22/2020,3900.17094,1857.22425,631.21992,252.48795
9/23/2020,3796.64793,1807.92756,617.87256,247.14902999999998
9/24/2020,3637.1065200000003,1731.9555,592.8626099999999,237.14505000000003
9/25/2020,3549.6435,1690.3064399999998,579.84198,231.93681
9/26/2020,3511.46133,1672.12443,573.88023,229.55208000000002
9/27/2020,3519.36627,1675.88868,575.39817,230.15928000000002
9/28/2020,3545.62434,1688.39256,583.0707600000001,233.22831000000002
9/29/2020,3582.10131,1705.76253,592.08945,236.83577999999997
9/30/2020,3586.31229,1707.76776,596.26098,238.50440999999998
10/1/2020,3544.1317200000003,1687.6818,589.91745,235.96698
10/2/2020,3549.42672,1690.20321,592.70262,237.08105999999998
10/3/2020,3659.03691,1742.39853,613.39698,245.35878
10/4/2020,3784.92807,1802.34672,636.7636200000001,254.70543
10/5/2020,3816.0684,1817.17542,645.43968,258.17589
10/6/2020,3943.4021100000004,1877.8105199999998,670.62492,268.24998
10/7/2020,4089.68937,1947.4711499999999,699.1263,279.65052
10/8/2020,4108.36773,1956.36558,702.3165,280.9266
10/9/2020,4297.51512,2046.43578,734.9383499999999,293.97534
10/10/2020,4455.36378,2121.6018,761.6353200000001,304.65414
10/11/2020,4748.23848,2261.06595,814.43136,325.77254999999997
10/12/2020,4862.3139599999995,2315.38758,836.6623500000001,334.66494
10/13/2020,5099.52471,2428.34511,880.1300100000001,352.05201
10/14/2020,5427.07524,2584.32153,937.71759,375.08705999999995
10/15/2020,5571.09027,2652.90012,959.96622,383.98650000000004
10/16/2020,5865.415889999999,2793.0552,1012.3401900000001,404.9361
10/17/2020,6186.770909999999,2946.08139,1067.02005,426.80801999999994
10/18/2020,6484.152599999999,3087.69171,1116.52095,446.60838
10/19/2020,6786.74172,3231.7817699999996,1173.61785,469.44714
10/20/2020,7228.73877,3442.25658,1252.08585,500.83434
10/21/2020,7467.5172,3555.96057,1293.23004,517.29201
10/22/2020,7823.72733,3725.58444,1350.32184,540.12873
10/23/2020,8024.269319999999,3821.08065,1382.9453999999998,553.1781900000001
10/24/2020,8561.817809999999,4077.0560699999996,1476.0359099999998,590.41434
10/25/2020,8974.709190000001,4273.6710299999995,1543.86288,617.54517
10/26/2020,9271.33209,4414.92003,1598.1570000000002,639.2628
10/27/2020,9682.04292,4610.49666,1666.1444999999999,666.4578000000001
10/28/2020,10029.8103,4776.1001400000005,1723.2822600000002,689.31291
10/29/2020,10315.78905,4912.28049,1770.2435999999998,708.09744
10/30/2020,10882.247220000001,5182.02249,1864.9076400000001,745.96308
10/31/2020,11441.771939999999,5448.46284,1956.25383,782.5015500000001
11/1/2020,11766.07047,5602.89069,2010.8327399999998,804.3330900000001
11/2/2020,12225.42006,5821.62861,2091.16017,836.4640499999999
11/3/2020,12533.75028,5968.45248,2145.45429,858.1817100000001
11/4/2020,13095.818220000001,6236.1039,2235.93714,894.3748500000002
11/5/2020,13388.042519999999,6375.258330000001,2281.9193999999998,912.76776
11/6/2020,13764.48615,6554.51721,2342.04429,936.81771
11/7/2020,14135.234520000002,6731.064060000001,2402.60367,961.04148
11/8/2020,14560.787969999998,6933.708570000001,2475.50127,990.20052
11/9/2020,14821.926210000001,7058.060099999999,2518.55199,1007.42079
11/10/2020,15313.5543,7292.16873,2597.57814,1039.03125
11/11/2020,15788.446919999998,7518.308069999999,2675.38926,1070.1556799999998
11/12/2020,15973.81698,7606.579530000001,2702.01075,1080.8043
11/13/2020,16279.345440000001,7752.069240000001,2745.39333,1098.15732
11/14/2020,16524.15678,7868.64606,2781.76863,1112.7074400000001
11/15/2020,16830.994379999996,8014.7592,2828.57397,1131.4296
11/16/2020,17180.20431,8181.04968,2889.91959,1155.96783
11/17/2020,17387.73399,8279.87334,2922.04851,1168.81938
11/18/2020,17682.01794,8420.00853,2969.6973299999995,1187.87892
11/19/2020,17838.086310000002,8494.32681,2986.9637999999995,1194.78552
11/20/2020,17967.54222,8555.97249,3005.37324,1202.14932
11/21/2020,18123.83574,8630.39796,3025.0595999999996,1210.0238399999998
11/22/2020,18493.90035,8806.619190000001,3084.58206,1233.83283
11/23/2020,18493.33752,8806.35117,3083.31084,1233.32433
11/24/2020,18467.9133,8794.244429999999,3076.9610700000003,1230.78444
11/25/2020,18547.262880000002,8832.02991,3089.52678,1235.8107
